product_name,price,platform,scraped_at
Amul,,Amazon,2026-01-03T21:58:56.653382
Nandini,68,Amazon,2026-01-03T21:58:56.680768
Amul,,Amazon,2026-01-03T21:58:56.699824
Amul,,Amazon,2026-01-03T21:58:56.718196
Nandini,31,Amazon,2026-01-03T21:58:56.742504
Amul,,Amazon,2026-01-03T21:58:56.760101
Nandini,35,Amazon,2026-01-03T21:58:56.784749
Heritage,,Amazon,2026-01-03T21:58:56.803879
Amul,,Amazon,2026-01-03T21:58:56.820753
Amul,,Amazon,2026-01-03T21:58:56.838841
Milkmaid,128,Amazon,2026-01-03T21:58:56.861585
Amul,,Amazon,2026-01-03T21:58:56.879488
Everyday,597,Amazon,2026-01-03T21:58:56.902304
Mother Dairy,,Amazon,2026-01-03T21:58:56.924144
urban platter,220,Amazon,2026-01-03T21:58:56.959424
Akshayakalpa Organic,439,Amazon,2026-01-03T21:58:57.007664
Mother Dairy,,Amazon,2026-01-03T21:58:57.038933
Akshayakalpa Organic,449,Amazon,2026-01-03T21:58:57.077267
Amul,,Amazon,2026-01-03T21:58:57.105126
Mother Dairy,,Amazon,2026-01-03T21:58:57.129418
Akshayakalpa Organic,487,Amazon,2026-01-03T21:58:57.157122
Akshayakalpa Organic,432,Amazon,2026-01-03T21:58:57.181459
NAKPRO,285,Amazon,2026-01-03T21:58:57.209948
Amul,,Amazon,2026-01-03T21:58:57.230779
Amul,,Amazon,2026-01-03T21:58:57.248232
"Sid's Farm Toned Milk, 500 ml",,Amazon,2026-01-03T21:58:57.263861
HUMPY FARMS,,Amazon,2026-01-03T21:58:57.279371
Amul,,Amazon,2026-01-03T21:58:57.295220
Mother Dairy,,Amazon,2026-01-03T21:58:57.311221
Heritage,,Amazon,2026-01-03T21:58:57.327723
So Good,,Amazon,2026-01-03T21:58:57.343973
HUMPY FARMS,,Amazon,2026-01-03T21:58:57.359143
Nestle LACTOGROW,328,Amazon,2026-01-03T21:58:57.383149
A+,108,Amazon,2026-01-03T21:58:57.407180
Mother Dairy,,Amazon,2026-01-03T21:58:57.424526
NAN,769,Amazon,2026-01-03T21:58:57.447655
Mother Dairy,,Amazon,2026-01-03T21:58:57.464686
Akshayakalpa Organic,,Amazon,2026-01-03T21:58:57.482089
A+,97,Amazon,2026-01-03T21:58:57.504342
MILK MONEY,99,Amazon,2026-01-03T21:58:57.526116
Nangrow,541,Amazon,2026-01-03T21:58:57.547650
Dabur,73,Amazon,2026-01-03T21:58:57.569235
"Sid's Farm Cow Milk,500 ml Pouch",,Amazon,2026-01-03T21:58:57.585514
So Good,369,Amazon,2026-01-03T21:58:57.607130
Milkmaid,84,Amazon,2026-01-03T21:58:57.628456
So Good,128,Amazon,2026-01-03T21:58:57.661816
Amul,250,Amazon,2026-01-03T21:58:57.688949
D'LECTA,419,Amazon,2026-01-03T21:58:57.714457
