Name,Price,Stock,Status Code
A Light in the Attic,51.77,In stock,200
Tipping the Velvet,53.74,In stock,200
Soumission,50.10,In stock,200
Sharp Objects,47.82,In stock,200
Sapiens: A Brief History of Humankind,54.23,In stock,200
The Requiem Red,22.65,In stock,200
The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock,200
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock,200
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,In stock,200
The Black Maria,52.15,In stock,200
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock,200
Shakespeare's Sonnets,20.66,In stock,200
Set Me Free,17.46,In stock,200
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock,200
Rip it Up and Start Again,35.02,In stock,200
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock,200
Olio,23.88,In stock,200
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock,200
Libertarianism for Beginners,51.33,In stock,200
It's Only the Himalayas,45.17,In stock,200
In Her Wake,12.84,In stock,200
How Music Works,37.32,In stock,200
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,In stock,200
Chase Me (Paris Nights #2),25.27,In stock,200
Black Dust,34.53,In stock,200
Birdsong: A Story in Pictures,54.64,In stock,200
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.50,In stock,200
Aladdin and His Wonderful Lamp,53.13,In stock,200
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.30,In stock,200
Wall and Piece,44.18,In stock,200
The Four Agreements: A Practical Guide to Personal Freedom,17.66,In stock,200
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,In stock,200
The Elephant Tree,23.82,In stock,200
The Bear and the Piano,36.89,In stock,200
Sophie's World,15.94,In stock,200
Penny Maybe,33.29,In stock,200
Maude (1883-1993):She Grew Up with the country,18.02,In stock,200
"In a Dark, Dark Wood",19.63,In stock,200
Behind Closed Doors,52.22,In stock,200
You can't bury them all: Poems,33.63,In stock,200
Slow States of Collapse: Poems,57.31,In stock,200
Reasons to Stay Alive,26.41,In stock,200
Private Paris (Private #10),47.61,In stock,200
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,In stock,200
Without Borders (Wanderlove #1),45.07,In stock,200
When We Collided,31.77,In stock,200
"We Love You, Charlie Freeman",50.27,In stock,200
Untitled Collection: Sabbath Poems 2014,14.27,In stock,200
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,In stock,200
Unicorn Tracks,18.78,In stock,200
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,In stock,200
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,In stock,200
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,In stock,200
This One Summer,19.49,In stock,200
Thirst,17.27,In stock,200
The Torch Is Passed: A Harding Family Story,19.09,In stock,200
The Secret of Dreadwillow Carse,56.13,In stock,200
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,In stock,200
The Past Never Ends,56.50,In stock,200
The Natural History of Us (The Fine Art of Pretending #2),45.22,In stock,200
The Nameless City (The Nameless City #1),38.16,In stock,200
The Murder That Never Was (Forensic Instincts #5),54.11,In stock,200
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,In stock,200
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,In stock,200
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,In stock,200
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,In stock,200
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,In stock,200
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,In stock,200
The Death of Humanity: and the Case for Life,58.11,In stock,200
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,In stock,200
The Art Forger,40.76,In stock,200
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,In stock,200
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,In stock,200
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,In stock,200
Soul Reader,39.58,In stock,200
Security,39.25,In stock,200
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,In stock,200
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,In stock,200
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,In stock,200
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.40,In stock,200
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,In stock,200
Princess Between Worlds (Wide-Awake Princess #5),13.34,In stock,200
"Pop Gun War, Volume 1: Gift",18.97,In stock,200
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,In stock,200
Patience,10.16,In stock,200
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,In stock,200
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,In stock,200
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,In stock,200
On a Midnight Clear,14.07,In stock,200
Obsidian (Lux #1),14.86,In stock,200
My Paris Kitchen: Recipes and Stories,33.37,In stock,200
Masks and Shadows,56.40,In stock,200
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,In stock,200
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,In stock,200
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,In stock,200
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,In stock,200
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,In stock,200
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.90,In stock,200
Join,35.67,In stock,200
In the Country We Love: My Family Divided,22.00,In stock,200
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,In stock,200
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,In stock,200
I am a Hero Omnibus Volume 1,54.63,In stock,200
How to Be Miserable: 40 Strategies You Already Use,46.03,In stock,200
Her Backup Boyfriend (The Sorensen Family #1),33.97,In stock,200
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,In stock,200
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,In stock,200
First and First (Five Boroughs #3),15.97,In stock,200
Fifty Shades Darker (Fifty Shades #2),21.96,In stock,200
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,In stock,200
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,In stock,200
Danganronpa Volume 1,51.99,In stock,200
Crown of Midnight (Throne of Glass #2),43.29,In stock,200
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,In stock,200
Camp Midnight,17.08,In stock,200
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,In stock,200
Burning,28.81,In stock,200
Bossypants,49.46,In stock,200
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,In stock,200
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,In stock,200
Algorithms to Live By: The Computer Science of Human Decisions,30.81,In stock,200
A World of Flavor: Your Gluten Free Passport,42.95,In stock,200
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,In stock,200
A Murder in Time,16.64,In stock,200
A Flight of Arrows (The Pathfinders #2),55.53,In stock,200
A Fierce and Subtle Poison,28.13,In stock,200
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,In stock,200
(Un)Qualified: How God Uses Broken People to Do Big Things,54.00,In stock,200
