brand,actual_price,ad,discount_price,product_url,product_img
H&M,Rs. 1399,AD,Nil,https://www.myntra.com/night-suits/h%26m/hm-jersey-pyjamas/36174375/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/9/3yl88MI2_d170599ea16b4fa88c81d7255780ceb1.jpg"
H&M,Rs. 1299,AD,Nil,https://www.myntra.com/perfume/h%26m/hm-mystic-velvet-eau-de-parfum-edp--long-lasting-fragrance-50-ml/37326106/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/16/NfIqrKw6_c7eaacad503944de8a376810192a6fce.jpg"
H&M,Rs. 799,AD,Nil,https://www.myntra.com/bra/h%26m/hm-seamless-padded-soft-bra/38225576/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/15/0dF7j73A_6c3d637b2ac941998f2eae84f7124a63.jpg"
H&M,Rs. 699,AD,Nil,https://www.myntra.com/highlighter/h%26m/hm-do-it-all-stick-highlighter-natural-finish-sheer-coverage-peachy-glow-7-g/37325741/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/18/hed2GNJX_f2d8dda0e6a64003a679ad750036cbaa.jpg"
H&M,Rs. 1499,AD,Nil,https://www.myntra.com/night-suits/h%26m/hm-cotton-pyjamas/39348822/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/13/3H07NGG0_bfd6bb10e56d4ed6a8a6f289cc454e1a.jpg"
H&M,Rs. 1199,AD,Nil,https://www.myntra.com/bra/h%26m/hm-padded-soft-microfibre-bra/36701686/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/9/DfXue6Wm_3ff00d4c64f54489aea38690b6a30ff3.jpg"
H&M,Rs. 999,AD,Nil,https://www.myntra.com/bra/h%26m/hm-self-adhesive-bra/31847812/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/9/eTKEybDU_6b8fcc8f564f462e81bde2679675d3ac.jpg"
H&M,Rs. 1399,AD,Nil,https://www.myntra.com/pyjamas/h%26m/hm-women-checked-mid-rise-pure-cotton-pyjama/37071698/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/9/4om1T7kZ_74780d96e8f64ca0af0218977494b1d9.jpg"
H&M,Rs. 1199,AD,Nil,https://www.myntra.com/bra/h%26m/hm-padded-non-wired-microfiber-bra/32321089/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/9/h8bA19Bm_773b871db4b3454c8b88cfc9724aa619.jpg"
H&M,Rs. 799,AD,Nil,https://www.myntra.com/bra/h%26m/hm-women-seamless-padded-soft-bra/32525869/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/9/FS6jPrea_f62338c481124f4ab3a367267a2810fc.jpg"
H&M,Rs. 1399,AD,Nil,https://www.myntra.com/bra/h%26m/hm-padded-microfiber-bandeau-bra/34539783/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/9/CkgQXb61_82d86303012349938c0ac3ba728a2082.jpg"
H&M,Rs. 1299,AD,Nil,https://www.myntra.com/perfume/h%26m/hm-pearls-dream-eau-de-parfum-edp--long-lasting-fragrance-50-ml/37326107/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/16/7LF5rxKQ_d7505864f5504fe9aa19af4d1329ea50.jpg"
H&M,Rs. 1299,AD,Nil,https://www.myntra.com/bra/h%26m/hm-microfiber-push-up-bra/34298823/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/9/TccALGKu_80cb36e5fe2e49d78e41a41b6de60d8c.jpg"
H&M,Rs. 1499,AD,Nil,https://www.myntra.com/lounge-pants/h%26m/hm--women-striped-mid-rise-lounge-pants/37776897/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/20/6LD81tQo_35c9eb8a424642e49f9e72567bce888a.jpg"
H&M,Rs. 1199,AD,Nil,https://www.myntra.com/bra/h%26m/hm-lightly-padded-all-day-comfort-seamless-padded-soft-bra/38225824/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/15/q3nlP4gN_eea275497f6c436aa3bc4a00b7f9bbac.jpg"
H&M,Rs. 999,AD,Nil,https://www.myntra.com/bra/h%26m/hm-seamless-padded-bralette/31857297/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/9/vXMdrwjz_eed2bf3252bc4e7e9ae5dadc51dfc8fc.jpg"
