brand,product_type,product_price,product_actual_price,product_img
AD By Arvind,Slim Fit Opaque Casual Shirt,Rs. 1379,Rs. 2299,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29966531/2024/6/14/af0f639d-a25b-41a8-9a67-09f33e7c2e2d1718370507103ADByArvindMenSlimFitOpaqueCheckedCasualShirt1.jpg"
TATTVA,Men Solid Casual Shirt,Rs. 799,Rs. 1999,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31213769/2025/7/5/2ee325fb-3e35-4117-a983-8391b1863b091751721472993-TATTVA-Men-Classic-Cutaway-Collar-Solid-Poly-Silk-Slim-Fit-C-1.jpg"
Kaku Fancy dresses,Boys Solid Casual Shirt,Rs. 410,Rs. 700,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/11/zXawAuSA_e30c1dabf29442829f8d360fff1a6a8e.jpg"
BAESD,Opaque Party Shirt,Rs. 358,Rs. 1999,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/22/OHJ2VHsv_26a60ae2e31842b6914cb2b78f216996.jpg"
AD By Arvind,Slim Fit Opaque Casual Shirt,Rs. 1019,Rs. 1699,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29066020/2025/2/15/866dbec0-9a61-4ea8-9d05-acf7db9cf0f71739614572474-AD-By-Arvind-Geometric-Patterned-Slim-Fit-Shirt-203173961457-1.jpg"
CORSICA,Women Solid Casual Shirt,Rs. 498,Rs. 1299,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/7/Tmm019aK_37efc12dbe8d48bc8746292550f2d233.jpg"
Allen Solly Junior,Boys Striped Casual Shirt,Rs. 671,Rs. 1399,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/9/0h6TmE3C_3f114be730ed4e439b48f0b7a1bd9ebe.jpg"
Powerlook,Textured Long Sleeves Shirt,Rs. 989,Rs. 2199,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/5/fadUeTGG_b307bc1731e444659f1ef3380a6c9a10.jpg"
U.S. Polo Assn. Kids,Boys Checked Cotton Shirt,Rs. 1119,Rs. 1999,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/7/D2FLJO8p_922e02b16c9a4da0ba59a144e5fb04a5.jpg"
DANFORTH,Regular Fit Casual Shirt,Rs. 315,Rs. 1150,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/20/RLo7GbwB_13c06bcef52b4dd88f7cb36497ec253b.jpg"
Nautica,Slim Cotton Linen Shirt,Rs. 863,Rs. 2699,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/8/LowkFlha_67ad583c907e4804975dbd1d167aa406.jpg"
Roadster,Solid Regular Fit Shirt,Rs. 721,Rs. 1899,
United Colors of Benetton,Spread Collar Casual Shirt,Rs. 734,Rs. 1499,
Roadster,Pure Cotton Casual Shirt,Rs. 432,Rs. 1299,
HERE&NOW,Slim Fit Casual Shirt,Rs. 694,Rs. 1999,
CORSICA,Slim Fit Casual Shirt,Rs. 594,Rs. 1999,
Powerlook,Casual Shirt,Rs. 1099,Rs. 2199,
Allen Solly Junior,Boys Checked Casual Shirt,Rs. 704,Rs. 1499,
VANI COUTURE,Casual Shirt,Rs. 498,Rs. 999,
Nautica,Men Solid Linen Casual Shirt,Rs. 1177,Rs. 3799,
Pepe Jeans,Casual Shirt,Rs. 798,Rs. 1699,
Style Quotient,Women Formal Shirt,Rs. 584,Rs. 1499,
Powerlook,Men Checked Cotton Shirt,Rs. 813,Rs. 2199,
Moda Rapido,Casual Shirt,Rs. 422,Rs. 1499,
Marks & Spencer,Opaque Casual Shirt,Rs. 849,Rs. 1699,
