brand,product_type,product_price,product_actual_price,product_page_url,product_img_url
Snitch,Slim Fit Formal Shirt,,,https://www.myntra.com/shirts/snitch/snitch-men-slim-fit-formal-shirt/38610733/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/13/9zFvpuLb_bfd10f3fc8eb4048b858c759594d15da.jpg"
AD By Arvind,Slim Fit Opaque Casual Shirt,Rs. 1379,Rs. 2299,https://www.myntra.com/shirts/ad+by+arvind/ad-by-arvind-men-slim-fit-checked-casual-shirt/29966531/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29966531/2024/6/14/af0f639d-a25b-41a8-9a67-09f33e7c2e2d1718370507103ADByArvindMenSlimFitOpaqueCheckedCasualShirt1.jpg"
Kaku Fancy dresses,,Rs. 410,Rs. 700,https://www.myntra.com/shirts/kaku+fancy+dresses/kaku-fancy-dresses-boys-standard-spread-collar-solid-casual-shirt/31282628/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/11/0hYVxBCO_1a33cad975c9409e84b40694ec0f985a.jpg"
BAESD,Opaque Party Shirt,Rs. 358,Rs. 1999,https://www.myntra.com/shirts/baesd/baesd-boys-standard-gingham-checks-opaque-checked-party-shirt/32885940/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/22/OHJ2VHsv_26a60ae2e31842b6914cb2b78f216996.jpg"
HIGHLANDER,Men Printed Casual Shirt,Rs. 588,Rs. 3099,https://www.myntra.com/shirts/highlander/highlander-men-plus-size-regular-fit-shirt/30949316/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/14/THPdFNsF_db182382606a4cceaae5d7742eb1dc48.jpg"
DANFORTH,,Rs. 315,Rs. 1150,https://www.myntra.com/shirts/danforth/danforth-boys-spread-collar-cotton-regular-fit-casual-shirt/37093640/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/20/RLo7GbwB_13c06bcef52b4dd88f7cb36497ec253b.jpg"
CORSICA,Women Solid Casual Shirt,Rs. 498,Rs. 1299,https://www.myntra.com/shirts/corsica/corsica-women-comfort-fit-solid-spread-collar-casual-shirt/37360844/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/7/Tmm019aK_37efc12dbe8d48bc8746292550f2d233.jpg"
Powerlook,Textured Long Sleeves Shirt,Rs. 989,Rs. 2199,https://www.myntra.com/shirts/powerlook/powerlook-textured-long-sleeves-shirt/35359823/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/5/fadUeTGG_b307bc1731e444659f1ef3380a6c9a10.jpg"
OTUS,,Rs. 455,Rs. 1899,https://www.myntra.com/shirts/otus/otus-men-classic-striped-casual-shirt/38704678/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/17/LhXJ8i5V_1ea1e24363d34e849cb619524916a3fc.jpg"
Marks & Spencer,Opaque Casual Shirt,Rs. 849,Rs. 1699,https://www.myntra.com/shirts/marks+%26+spencer/marks--spencer-boys-opaque-casual-shirt/31597332/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/11/QLQsYb4i_5d5956ce167848059c4a1060f52e0e84.jpg"
Red Tape,Casual Shirt,Rs. 668,Rs. 4399,https://www.myntra.com/shirts/red+tape/red-tape-men-casual-shirt/37809354/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/8/SswPqRdr_ec27cedcf17b42cf9e141926efccc07a.jpg"
HERE&NOW,,Rs. 632,Rs. 1999,https://www.myntra.com/shirts/here%26now/herenow-men-slim-fit-floral-opaque-printed-casual-shirt/30246784/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30246784/2024/7/19/31c032a9-44ae-4e84-9f22-768348e6f3551721378547128HERENOWMenSlimFitFloralOpaquePrintedCasualShirt7.jpg"
DressBerry,Mandarin Collar Casual Shirt,Rs. 482,Rs. 2199,https://www.myntra.com/shirts/dressberry/dressberry-fuchsia-classic-mandarin-collar-casual-shirt/29541216/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29541216/2025/6/30/e9952d21-ee2e-4325-b999-48b83ad771b91751281174197-DressBerry-Fuchsia-Classic-Mandarin-Collar-Casual-Shirt-5361-1.jpg"
HIGHLANDER,Slim Fit Opaque Casual Shirt,Rs. 647,Rs. 2699,https://www.myntra.com/shirts/highlander/highlander-men-comfort-slim-fit-opaque-casual-shirt/33475189/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/4/WqauO76W_a6701ec669da4feca827625c70612fa0.jpg"
VANI COUTURE,,Rs. 497,Rs. 999,https://www.myntra.com/shirts/vani+couture/boys-shirt-checkered-printed-casual-short-sleeve-shirts-pack-of-2/35791155/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/17/rNlVGKSE_74741d4a6e7348afbf561eb6941e21fc.jpg"
VASTRADO,Slim Fit Casual Shirt,Rs. 949,Rs. 1899,https://www.myntra.com/shirts/vastrado/vastrado-men-classic-slim-fit-casual-shirt/39709544/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/30/t4hvYrmf_4b91cfd5064243e19580c5c5f63ffd60.jpg"
Arrow,Slim Fit Formal Shirt,Rs. 1149,Rs. 2299,https://www.myntra.com/shirts/arrow/arrow-manhattan-slim-fit-pure-cotton-formal-shirt/34588409/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/16/hqILduh9_b02c093f4ecb4887814d8f077886d8e7.jpg"
United Colors of Benetton,,Rs. 794,Rs. 1499,https://www.myntra.com/shirts/united+colors+of+benetton/united-colors-of-benetton-spread-collar-casual-shirt/36388120/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/30/ApNpzEgZ_d60b061e8b2e4cf7b6758584b29f4813.jpg"
VANI COUTURE,Casual Shirt,Rs. 497,Rs. 999,https://www.myntra.com/shirts/vani+couture/vani-couture-boys-casual-shirt/38074202/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/24/GLbxK74P_acd9276951c846c1bc7a645461347a5b.jpg"
